timestamp_ns,symbol,best_bid,best_ask,spread,bid_volume,ask_volume,bid_levels,ask_levels,total_orders
14400007694888,TSLA,6119800,0,0,20,0,1,0,1
14410171064482,AAPL,3210000,3218000,8000,25,200,2,5,7
14410171064482,AMZN,18450000,18540000,90000,301,50,9,4,13
14410171064482,GOOGL,14335200,14385900,50700,16,9,3,4,7
14410171064482,MSFT,1707700,1746000,38300,88,500,7,4,11
14410171064482,TSLA,6419800,6440000,20200,100,4,19,13,35
14420116258967,AAPL,3210200,3217900,7700,30,30,10,9,21
14420116258967,AMZN,18460000,18539900,79900,1,20,15,10,27
14420116258967,GOOGL,14335600,14385900,50300,14,9,4,4,8
14420116258967,MSFT,1707800,1745900,38100,100,100,13,7,22
14420116258967,TSLA,6430000,6439900,9900,3,50,35,16,61
14430128422424,AAPL,3209700,3210000,300,30,36,10,9,21
14430128422424,AMZN,18460000,18539900,79900,1,20,15,11,29
14430128422424,GOOGL,14335600,14385900,50300,14,9,4,4,8
14430128422424,MSFT,1707800,1745900,38100,100,100,16,9,28
14430128422424,TSLA,6435000,6439900,4900,2,50,51,18,86
14440009312139,AAPL,3209700,3210000,300,25,36,16,20,39
14440009312139,AMZN,18460000,18539900,79900,1,20,16,12,33
14440009312139,GOOGL,14335600,14385900,50300,14,9,5,4,9
14440009312139,MSFT,1707800,1745900,38100,100,100,21,11,38
14440009312139,TSLA,6430200,6449900,19700,14,22,66,23,119
14450141371823,AAPL,3210000,3215400,5400,8,5,17,24,47
14450141371823,AMZN,18460000,18539900,79900,1,20,16,12,33
14450141371823,GOOGL,14335600,14385900,50300,14,9,5,4,9
14450141371823,MSFT,1730100,1745900,15800,100,100,24,13,50
14450141371823,TSLA,6430200,6439900,9700,10,160,77,32,160
14460734530503,AAPL,3209700,3215100,5400,30,30,16,23,46
14460734530503,AMZN,18460000,18539900,79900,1,20,16,12,33
14460734530503,GOOGL,14335000,14385900,50900,14,9,5,4,9
14460734530503,MSFT,1730100,1745900,15800,100,100,25,13,50
14460734530503,TSLA,6411000,6430200,19200,100,5,75,35,160
14470767858128,AAPL,3208100,3215000,6900,30,50,17,25,48
14470767858128,AMZN,18460000,18539900,79900,1,20,16,12,33
14470767858128,GOOGL,14334900,14385900,51000,14,9,5,4,9
14470767858128,MSFT,1730100,1745900,15800,100,100,25,13,51
14470767858128,TSLA,6420800,6435000,14200,15,95,77,34,162
14480137534330,AAPL,3208100,3215000,6900,30,50,17,24,48
14480137534330,AMZN,18460000,18539900,79900,1,20,16,12,33
14480137534330,GOOGL,14334900,14385900,51000,14,9,5,4,9
14480137534330,MSFT,1730100,1736800,6700,100,10,26,13,52
14480137534330,TSLA,6434500,6435000,500,83,46,89,38,189
14490228841918,AAPL,3209500,3213000,3500,30,5,16,24,47
14490228841918,AMZN,18460000,18539900,79900,1,20,16,12,33
14490228841918,GOOGL,14334900,14385900,51000,14,9,5,4,9
14490228841918,MSFT,1732100,1736800,4700,200,10,27,13,54
14490228841918,TSLA,6436500,6439700,3200,90,92,92,41,197
14500272894092,AAPL,3208000,3213000,5000,233,1239,16,25,49
14500272894092,AMZN,18460000,18539900,79900,1,20,16,12,33
14500272894092,GOOGL,14335000,14385900,50900,14,9,5,4,9
14500272894092,MSFT,1733100,1736800,3700,40,10,27,13,54
14500272894092,TSLA,6420000,6435000,15000,82,10,88,41,193
14510089483967,AAPL,3208000,3212500,4500,300,1234,17,28,52
14510089483967,AMZN,18460000,18529900,69900,1,20,16,13,34
14510089483967,GOOGL,14336300,14381300,45000,14,21,5,4,9
14510089483967,MSFT,1732200,1736800,4600,20,10,26,12,52
14510089483967,TSLA,6420000,6434500,14500,83,95,90,43,200
14520454574759,AAPL,3210000,3212500,2500,5,1234,19,29,55
14520454574759,AMZN,18460000,18529900,69900,1,20,16,13,34
14520454574759,GOOGL,14335600,14381300,45700,14,21,5,4,9
14520454574759,MSFT,1732200,1736700,4500,20,10,25,13,53
14520454574759,TSLA,6423000,6434500,11500,4,95,92,43,203
14530089053829,AAPL,3210000,3212500,2500,5,1234,20,29,56
14530089053829,AMZN,18460000,18529900,69900,1,20,16,13,34
14530089053829,GOOGL,14335700,14381300,45600,14,21,5,4,9
14530089053829,MSFT,1732300,1738000,5700,100,100,26,12,54
14530089053829,TSLA,6423000,6434500,11500,4,95,94,44,209
14540020638704,AAPL,3208000,3212500,4500,300,1234,19,29,54
14540020638704,AMZN,18460000,18529900,69900,1,20,16,13,34
14540020638704,GOOGL,14339700,14381300,41600,50,21,5,4,9
14540020638704,MSFT,1732300,1737900,5600,100,100,26,12,54
14540020638704,TSLA,6423000,6430000,7000,108,45,97,46,217
14550125501430,AAPL,3208000,3212300,4300,300,150,22,30,58
14550125501430,AMZN,18460000,18529900,69900,1,20,17,14,36
14550125501430,GOOGL,14342200,14381300,39100,13,21,5,5,10
14550125501430,MSFT,1732300,1737900,5600,100,100,26,12,54
14550125501430,TSLA,6425000,6430000,5000,1,45,98,49,221
14560412473413,AAPL,3208000,3212100,4100,300,5,22,30,57
14560412473413,AMZN,18460000,18529900,69900,1,20,17,14,36
14560412473413,GOOGL,14340000,14381300,41300,9,21,5,5,10
14560412473413,MSFT,1736000,1737900,1900,1,100,25,12,53
14560412473413,TSLA,6423000,6425000,2000,18,5,97,53,222
14570874432279,AAPL,3210000,3212300,2300,60,127,23,29,57
14570874432279,AMZN,18460000,18529900,69900,1,20,17,14,36
14570874432279,GOOGL,14339400,14381300,41900,9,21,5,5,10
14570874432279,MSFT,1732900,1739900,7000,100,130,26,13,55
14570874432279,TSLA,6421000,6427300,6300,88,940,97,50,223
14580632747635,AAPL,3210000,3212300,2300,60,127,23,29,56
14580632747635,AMZN,18460000,18529900,69900,1,20,16,13,34
14580632747635,GOOGL,14339400,14381300,41900,9,21,5,5,10
14580632747635,MSFT,1732300,1739900,7600,100,130,27,13,56
14580632747635,TSLA,6420000,6423900,3900,237,100,93,52,224
14590183615010,AAPL,3210000,3212300,2300,60,127,23,30,57
14590183615010,AMZN,18460000,18529900,69900,1,20,16,13,34
14590183615010,GOOGL,14339400,14381300,41900,9,21,5,6,11
14590183615010,MSFT,1735000,1739900,4900,20,130,27,13,56
14590183615010,TSLA,6418700,6423900,5200,187,100,91,51,216
14600180471375,AAPL,3210000,3212300,2300,60,127,23,30,57
14600180471375,AMZN,18480000,18529900,49900,20,20,17,14,36
14600180471375,GOOGL,14339400,14381300,41900,9,21,5,6,11
14600180471375,MSFT,1735000,1739700,4700,20,100,27,14,56
14600180471375,TSLA,6418700,6420000,1300,147,32,93,54,223
14610140947725,AAPL,3210000,3212300,2300,60,127,23,30,57
14610140947725,AMZN,18480000,18529900,49900,20,20,17,14,36
14610140947725,GOOGL,14341000,14381300,40300,9,21,5,6,11
14610140947725,MSFT,1735500,1739500,4000,100,100,28,14,57
14610140947725,TSLA,6418700,6420000,1300,19,57,95,54,230
14620062508445,AAPL,3210000,3211300,1300,57,100,24,31,61
14620062508445,AMZN,18460000,18529900,69900,1,20,16,14,35
14620062508445,GOOGL,14341300,14381300,40000,9,21,5,6,11
14620062508445,MSFT,1735500,1739400,3900,100,30,28,13,56
14620062508445,TSLA,6411000,6418700,7700,43,981,94,53,232
14630068992021,AAPL,3208000,3210000,2000,300,100,24,31,60
14630068992021,AMZN,18460000,18529900,69900,1,20,16,14,36
14630068992021,GOOGL,14341500,14387500,46000,31,14,5,6,11
14630068992021,MSFT,1735500,1739200,3700,100,130,28,13,58
14630068992021,TSLA,6410000,6418700,8700,260,981,94,54,234
14640101517613,AAPL,3208000,3210000,2000,300,100,24,31,61
14640101517613,AMZN,18460000,18529900,69900,1,20,15,14,35
14640101517613,GOOGL,14339300,14388100,48800,49,9,5,6,11
14640101517613,MSFT,1735500,1739100,3600,100,27,28,13,57
14640101517613,TSLA,6410000,6418700,8700,84,981,95,56,236
14650094083955,AAPL,3208000,3210000,2000,300,100,24,30,60
14650094083955,AMZN,18460000,18529900,69900,1,20,16,14,36
14650094083955,GOOGL,14346700,14384200,37500,10,15,5,6,11
14650094083955,MSFT,1736800,1739000,2200,2000,27,29,13,58
14650094083955,TSLA,6408000,6418000,10000,100,5,94,57,234
14660042913774,AAPL,3208000,3211000,3000,300,100,24,30,60
14660042913774,AMZN,18460000,18529900,69900,1,20,16,14,36
14660042913774,GOOGL,14341000,14384200,43200,50,15,5,6,11
14660042913774,MSFT,1736800,1738000,1200,2000,91,29,15,59
14660042913774,TSLA,6400000,6410600,10600,285,12,89,59,229
14670576171695,AAPL,3208000,3211000,3000,300,100,24,30,60
14670576171695,AMZN,18460000,18529900,69900,1,20,16,14,36
14670576171695,GOOGL,14341000,14384200,43200,50,15,6,6,12
14670576171695,MSFT,1736800,1738600,1800,1500,16,29,16,60
14670576171695,TSLA,6417500,6418700,1200,10,966,96,57,238
14680698250055,AAPL,3208000,3211000,3000,300,100,25,31,62
14680698250055,AMZN,18460000,18529900,69900,1,20,16,14,36
14680698250055,GOOGL,14341000,14384200,43200,50,15,6,6,12
14680698250055,MSFT,1736800,1738800,2000,1257,16,28,16,60
14680698250055,TSLA,6410000,6412500,2500,110,10,93,59,238
14690254208671,AAPL,3208000,3211000,3000,300,100,25,31,62
14690254208671,AMZN,18460000,18510000,50000,1,1,16,14,36
14690254208671,GOOGL,14290000,14386600,96600,80,14,5,6,11
14690254208671,MSFT,1736800,1738500,1700,1257,16,28,17,61
14690254208671,TSLA,6410000,6412500,2500,118,10,95,62,242
14700351885885,AAPL,3208000,3211000,3000,300,100,25,32,64
14700351885885,AMZN,18460000,18510000,50000,1,1,16,14,36
14700351885885,GOOGL,14290000,14387500,97500,80,11,5,6,11
14700351885885,MSFT,1736800,1738500,1700,1257,416,30,17,63
14700351885885,TSLA,6408700,6410200,1500,200,22,95,62,242
14710019005149,AAPL,3208000,3209800,1800,300,200,25,34,67
14710019005149,AMZN,18460000,18510000,50000,1,1,16,14,36
14710019005149,GOOGL,14346800,14400000,53200,10,1,8,5,13
14710019005149,MSFT,1736800,1738500,1700,1257,416,30,17,63
14710019005149,TSLA,6408700,6410000,1300,160,52,95,62,244
14720284562530,AAPL,3208000,3209800,1800,300,288,25,31,66
14720284562530,AMZN,18460000,18510000,50000,1,1,16,14,36
14720284562530,GOOGL,14342900,14386200,43300,24,14,8,6,14
14720284562530,MSFT,1736800,1738400,1600,1257,16,30,18,63
14720284562530,TSLA,6408700,6413300,4600,115,261,96,60,243
14730689022439,AAPL,3207000,3209800,2800,30,188,24,33,65
14730689022439,AMZN,18460000,18510000,50000,1,1,17,15,38
14730689022439,GOOGL,14341500,14386200,44700,13,14,8,6,14
14730689022439,MSFT,1736800,1738400,1600,1248,16,30,19,64
14730689022439,TSLA,6408700,6413300,4600,115,289,97,60,246
14740528027439,AAPL,3204800,3209800,5000,30,188,24,31,65
14740528027439,AMZN,18460000,18510000,50000,1,1,17,15,38
14740528027439,GOOGL,14341900,14385600,43700,9,14,8,6,14
14740528027439,MSFT,1737000,1738300,1300,20,16,31,19,65
14740528027439,TSLA,6410000,6413300,3300,47,73,98,60,248
14750079262120,AAPL,3204800,3209800,5000,30,315,24,31,65
14750079262120,AMZN,18460000,18510000,50000,1,1,18,15,39
14750079262120,GOOGL,14290000,14385600,95600,80,14,7,6,13
14750079262120,MSFT,1737000,1738300,1300,20,116,31,19,66
14750079262120,TSLA,6413000,6413300,300,400,31,100,61,251
14760263182188,AAPL,3204800,3209000,4200,30,127,24,33,65
14760263182188,AMZN,18460000,18510000,50000,1,1,18,15,39
14760263182188,GOOGL,14342000,14385000,43000,9,14,8,6,14
14760263182188,MSFT,1737000,1738100,1100,20,16,32,19,66
14760263182188,TSLA,6415000,6418700,3700,2,26,99,60,251
14770487333991,AAPL,3209000,3209800,800,200,88,25,31,66
14770487333991,AMZN,18460000,18510000,50000,1,1,18,15,39
14770487333991,GOOGL,14341300,14385000,43700,9,14,8,6,14
14770487333991,MSFT,1737000,1738100,1100,20,16,32,19,67
14770487333991,TSLA,6410100,6412000,1900,3,58,95,64,253
14780608812806,AAPL,3209000,3210000,1000,200,48,26,31,66
14780608812806,AMZN,18460000,18500000,40000,1,8,18,16,39
14780608812806,GOOGL,14341800,14386500,44700,13,15,8,6,14
14780608812806,MSFT,1738200,1738500,300,179,389,33,19,68
14780608812806,TSLA,6412100,6414300,2200,5,1,97,62,255
14790119407685,AAPL,3209000,3211000,2000,200,100,27,30,66
14790119407685,AMZN,18460000,18500000,40000,1,8,18,16,39
14790119407685,GOOGL,14340700,14387100,46400,9,15,8,6,14
14790119407685,MSFT,1738200,1739000,800,179,500,33,18,67
14790119407685,TSLA,6414300,6418700,4400,5,25,97,62,257
14800099389696,AAPL,3209000,3211000,2000,200,100,28,30,67
14800099389696,AMZN,18460000,18500000,40000,1,7,18,16,39
14800099389696,GOOGL,14343500,14397200,53700,39,24,8,6,14
14800099389696,MSFT,1738500,1741600,3100,100,100,33,19,68
14800099389696,TSLA,6408700,6410000,1300,598,1126,95,63,253
14810928949158,AAPL,3212600,3213000,400,202,100,30,28,67
14810928949158,AMZN,18460000,18500000,40000,1,7,18,17,40
14810928949158,GOOGL,14339100,14400000,60900,42,1,8,5,13
14810928949158,MSFT,1738500,1741500,3000,100,100,33,19,68
14810928949158,TSLA,6404800,6410000,5200,14,1064,94,64,253
14820181147744,AAPL,3210000,3216900,6900,14,30,29,28,67
14820181147744,AMZN,18460000,18500000,40000,1,7,18,17,40
14820181147744,GOOGL,14339100,14400000,60900,42,1,8,6,14
14820181147744,MSFT,1738500,1741700,3200,200,100,32,20,69
14820181147744,TSLA,6400000,6410000,10000,565,1064,93,64,252
14830487055811,AAPL,3210000,3216900,6900,14,30,29,28,67
14830487055811,AMZN,18460000,18500000,40000,1,5,18,16,40
14830487055811,GOOGL,14339100,14400000,60900,42,1,8,6,14
14830487055811,MSFT,1740400,1741600,1200,1248,100,33,20,68
14830487055811,TSLA,6403500,6405000,1500,200,11,96,63,259
14840025291546,AAPL,3210000,3216900,6900,14,30,29,28,67
14840025291546,AMZN,18460000,18499900,39900,1,1,18,17,40
14840025291546,GOOGL,14339100,14400000,60900,42,1,8,6,14
14840025291546,MSFT,1740400,1742000,1600,1248,500,32,19,68
14840025291546,TSLA,6405000,6408500,3500,89,14,96,62,257
14850055883744,AAPL,3210000,3215500,5500,14,100,29,29,68
14850055883744,AMZN,18460000,18499900,39900,1,1,18,17,40
14850055883744,GOOGL,14339100,14400000,60900,42,1,8,6,14
14850055883744,MSFT,1742000,1744000,2000,60,500,34,19,69
14850055883744,TSLA,6400700,6405000,4300,14,139,95,64,258
14860195529008,AAPL,3210000,3215500,5500,14,100,29,29,69
14860195529008,AMZN,18468600,18499900,31300,3,1,18,17,40
14860195529008,GOOGL,14339100,14400000,60900,42,1,8,5,13
14860195529008,MSFT,1742000,1744000,2000,85,500,32,19,69
14860195529008,TSLA,6400000,6405100,5100,569,23,95,66,262
14870114741844,AAPL,3210000,3215400,5400,14,30,29,30,71
14870114741844,AMZN,18468600,18499900,31300,3,1,18,17,40
14870114741844,GOOGL,14339100,14400000,60900,42,1,8,6,14
14870114741844,MSFT,1742000,1744000,2000,85,500,32,19,70
14870114741844,TSLA,6401000,6402300,1300,161,100,97,68,265
14880563052031,AAPL,3210000,3215500,5500,14,180,30,29,71
14880563052031,AMZN,18468700,18530000,61300,20,4,19,15,39
14880563052031,GOOGL,14339100,14400000,60900,42,1,8,6,14
14880563052031,MSFT,1742000,1744000,2000,85,500,32,18,70
14880563052031,TSLA,6401000,6405000,4000,117,5,98,66,265
14890402471232,AAPL,3210000,3215500,5500,14,180,30,28,71
14890402471232,AMZN,18468700,18530000,61300,20,4,19,15,39
14890402471232,GOOGL,14339100,14400000,60900,42,1,8,6,14
14890402471232,MSFT,1742500,1744000,1500,200,600,32,19,73
14890402471232,TSLA,6402000,6405300,3300,5,4,98,66,264
14900449998181,AAPL,3213500,3215500,2000,20,180,31,29,74
14900449998181,AMZN,18468700,18530000,61300,20,4,19,15,39
14900449998181,GOOGL,14339100,14400000,60900,42,1,8,6,14
14900449998181,MSFT,1742500,1744000,1500,200,600,33,19,74
14900449998181,TSLA,6397600,6400000,2400,15,521,95,68,260
14910487568667,AAPL,3213500,3215500,2000,20,180,31,29,74
14910487568667,AMZN,18468700,18530000,61300,20,4,19,15,39
14910487568667,GOOGL,14339100,14400000,60900,42,1,8,6,14
14910487568667,MSFT,1738500,1740900,2400,100,500,32,20,72
14910487568667,TSLA,6390000,6400000,10000,106,283,93,66,256
14920029519523,AAPL,3213500,3215500,2000,20,180,30,29,74
14920029519523,AMZN,18468700,18530000,61300,20,4,18,15,39
14920029519523,GOOGL,14339100,14400000,60900,42,1,8,6,14
14920029519523,MSFT,1739000,1740900,1900,497,500,33,20,73
14920029519523,TSLA,6360000,6380000,20000,3,1172,90,70,259
14930031486992,AAPL,3210000,3213000,3000,14,20,29,29,74
14930031486992,AMZN,18468700,18530000,61300,20,4,18,15,39
14930031486992,GOOGL,14339100,14400000,60900,42,1,8,6,14
14930031486992,MSFT,1739000,1740900,1900,497,500,34,21,74
14930031486992,TSLA,6371400,6380000,8600,16,903,92,72,266
14940930289478,AAPL,3211500,3213000,1500,4000,20,30,30,78
14940930289478,AMZN,18468700,18530000,61300,20,4,18,15,39
14940930289478,GOOGL,14339100,14400000,60900,42,1,8,6,14
14940930289478,MSFT,1739100,1740900,1800,400,500,35,22,76
14940930289478,TSLA,6373500,6390000,16500,200,100,98,72,274
14950021971484,AAPL,3211500,3213000,1500,4000,20,30,30,78
14950021971484,AMZN,18468700,18530000,61300,20,4,18,15,39
14950021971484,GOOGL,14339100,14400000,60900,42,1,8,6,14
14950021971484,MSFT,1739100,1740800,1700,400,20,37,23,77
14950021971484,TSLA,6368700,6370000,1300,200,341,98,74,276
14960227769599,AAPL,3211500,3213000,1500,4000,20,30,30,78
14960227769599,AMZN,18468700,18530000,61300,20,4,18,15,39
14960227769599,GOOGL,14339100,14400000,60900,42,1,8,6,14
14960227769599,MSFT,1739100,1740800,1700,400,20,37,23,77
14960227769599,TSLA,6373500,6380000,6500,60,117,98,70,273
14970185851441,AAPL,3211600,3213000,1400,150,20,31,30,80
14970185851441,AMZN,18468700,18530000,61300,20,4,19,15,40
14970185851441,GOOGL,14339100,14400000,60900,42,1,8,6,14
14970185851441,MSFT,1739200,1740900,1700,100,520,38,22,79
14970185851441,TSLA,6370400,6379300,8900,1,25,96,71,271
14980100729787,AAPL,3211600,3215500,3900,150,180,31,29,79
14980100729787,AMZN,18490000,18530000,40000,10,4,18,15,39
14980100729787,GOOGL,14339100,14400000,60900,42,1,9,6,15
14980100729787,MSFT,1740500,1743900,3400,200,100,36,21,76
14980100729787,TSLA,6363000,6368400,5400,97,2,97,75,280
14990383685521,AAPL,3211600,3213600,2000,150,1102,32,30,80
14990383685521,AMZN,18490000,18530000,40000,10,4,19,15,40
14990383685521,GOOGL,14339100,14400000,60900,42,1,9,6,15
14990383685521,MSFT,1740500,1744000,3500,200,500,37,20,75
