timestamp_ns,symbol,best_bid,best_ask,spread,bid_volume,ask_volume,bid_levels,ask_levels,total_orders
14400007694888,TSLA,6119800,0,0,20,0,1,0,1
14410189958459,AAPL,3217958,3218000,42,100,200,3,4,7
14410189958459,AMZN,18539989,18540000,11,100,50,9,4,13
14410189958459,GOOGL,14418878,14418937,59,91,100,7,3,11
14410189958459,MSFT,1745690,1746000,310,100,500,8,4,12
14410189958459,TSLA,6459906,6460000,94,92,450,24,10,39
14420116258967,AAPL,3217989,3218000,11,70,200,14,6,22
14420116258967,AMZN,18539989,18540000,11,80,50,19,10,32
14420116258967,GOOGL,14418878,14418941,63,91,100,9,3,14
14420116258967,MSFT,1726795,1727005,210,100,100,14,7,23
14420116258967,TSLA,6459863,6460000,137,55,450,46,11,69
14430128422424,AAPL,3217869,3218000,131,95,200,15,6,23
14430128422424,AMZN,18539989,18540000,11,80,50,19,11,34
14430128422424,GOOGL,14418878,14418941,63,91,100,9,3,14
14430128422424,MSFT,1726795,1727005,210,100,100,16,9,28
14430128422424,TSLA,6459796,6460000,204,51,450,67,13,99
14440009312139,AAPL,3217819,3218000,181,85,200,21,16,40
14440009312139,AMZN,18539989,18540000,11,80,50,21,12,39
14440009312139,GOOGL,14418878,14418941,63,91,100,10,3,14
14440009312139,MSFT,1726795,1727005,210,100,100,20,11,37
14440009312139,TSLA,6459760,6460000,240,1,450,82,20,136
14450204211125,AAPL,3217819,3218000,181,26,200,21,23,52
14450204211125,AMZN,18539989,18540000,11,80,50,23,12,41
14450204211125,GOOGL,14418878,14418941,63,91,100,10,3,14
14450204211125,MSFT,1745740,1746000,260,100,500,24,12,49
14450204211125,TSLA,6438390,6439010,620,100,100,91,32,180
14460734530503,AAPL,3217779,3218000,221,66,200,20,24,53
14460734530503,AMZN,18539989,18540000,11,80,50,25,12,43
14460734530503,GOOGL,14418878,14418941,63,91,100,9,3,13
14460734530503,MSFT,1745927,1746000,73,100,500,25,12,50
14460734530503,TSLA,6432540,6433569,1029,95,100,99,44,202
14470767858128,AAPL,3213665,3214100,435,40,30,20,27,54
14470767858128,AMZN,18539989,18540000,11,80,50,24,12,41
14470767858128,GOOGL,14418878,14418941,63,91,100,10,3,14
14470767858128,MSFT,1745958,1746000,42,100,500,25,12,51
14470767858128,TSLA,6432540,6433569,1029,95,100,103,48,213
14480138839390,AAPL,3213665,3214100,435,40,30,20,29,56
14480138839390,AMZN,18539989,18540000,11,80,50,25,12,42
14480138839390,GOOGL,14418878,14418941,63,91,100,10,3,14
14480138839390,MSFT,1745945,1746000,55,90,500,27,13,54
14480138839390,TSLA,6432637,6433471,834,100,100,117,56,248
14490228841918,AAPL,3213665,3214100,435,35,30,21,29,58
14490228841918,AMZN,18539989,18540000,11,80,50,25,12,42
14490228841918,GOOGL,14418878,14418941,63,91,100,10,3,14
14490228841918,MSFT,1745945,1746000,55,90,500,30,13,57
14490228841918,TSLA,6432739,6433369,630,100,100,121,66,265
14500274165662,AAPL,3211136,3211864,728,100,100,21,33,66
14500274165662,AMZN,18539989,18540000,11,80,50,27,11,42
14500274165662,GOOGL,14418878,14418941,63,91,100,10,3,15
14500274165662,MSFT,1745869,1746000,131,90,500,32,11,60
14500274165662,TSLA,6430167,6431397,1230,100,100,120,72,268
14510089483967,AAPL,3211136,3211864,728,100,100,22,36,70
14510089483967,AMZN,18539989,18540000,11,36,50,29,10,46
14510089483967,GOOGL,14418878,14418941,63,70,100,11,3,17
14510089483967,MSFT,1745729,1746000,271,90,500,34,11,67
14510089483967,TSLA,6430174,6431390,1216,100,100,125,77,285
14520454654805,AAPL,3211136,3211864,728,100,100,22,40,78
14520454654805,AMZN,18539989,18540000,11,36,50,29,10,50
14520454654805,GOOGL,14418878,14418941,63,70,100,12,3,21
14520454654805,MSFT,1745669,1746000,331,80,500,34,11,70
14520454654805,TSLA,6430174,6431390,1216,100,100,125,78,293
14530090183725,AAPL,3211136,3211864,728,100,100,22,40,79
14530090183725,AMZN,18539989,18540000,11,36,50,29,9,49
14530090183725,GOOGL,14418878,14418941,63,70,100,12,3,22
14530090183725,MSFT,1745528,1746000,472,80,500,36,11,75
14530090183725,TSLA,6430174,6431390,1216,55,100,127,81,305
14540157831912,AAPL,3210468,3211396,928,100,100,21,41,79
14540157831912,AMZN,18539989,18540000,11,36,50,29,9,49
14540157831912,GOOGL,14418878,14418941,63,70,100,13,3,24
14540157831912,MSFT,1745329,1746000,671,80,500,36,11,75
14540157831912,TSLA,6430174,6431397,1223,55,93,130,85,323
14550125501430,AAPL,3210468,3211396,928,100,100,24,43,85
14550125501430,AMZN,18539989,18540000,11,26,50,30,9,50
14550125501430,GOOGL,14418878,14418941,63,60,100,16,3,28
14550125501430,MSFT,1745329,1746000,671,80,500,36,11,75
14550125501430,TSLA,6430174,6431397,1223,55,93,131,88,331
14560976665066,AAPL,3210468,3211396,928,100,100,24,43,89
14560976665066,AMZN,18539989,18540000,11,26,50,31,9,51
14560976665066,GOOGL,14418878,14418941,63,60,100,22,3,36
14560976665066,MSFT,1744856,1746000,1144,51,500,36,11,75
14560976665066,TSLA,6430174,6431397,1223,38,93,127,91,331
14571199667535,AAPL,3210468,3211396,928,100,100,25,44,93
14571199667535,AMZN,18539989,18540000,11,26,50,31,8,49
14571199667535,GOOGL,14418878,14418941,63,60,100,23,3,37
14571199667535,MSFT,1744184,1746000,1816,91,500,39,11,83
14571199667535,TSLA,6426300,6427300,1000,16,572,116,96,325
14581398994455,AAPL,3210468,3211396,928,100,100,26,43,92
14581398994455,AMZN,18539989,18540000,11,26,50,32,8,50
14581398994455,GOOGL,14418878,14418941,63,60,100,23,3,37
14581398994455,MSFT,1744184,1746000,1816,31,500,39,10,84
14581398994455,TSLA,6425985,6427300,1315,5,572,117,99,334
14590183615010,AAPL,3210468,3211396,928,100,100,27,44,95
14590183615010,AMZN,18539989,18540000,11,26,50,33,8,51
14590183615010,GOOGL,14418878,14418941,63,59,100,23,3,37
14590183615010,MSFT,1744184,1746000,1816,31,500,42,10,90
14590183615010,TSLA,6425732,6427300,1568,45,572,119,101,333
14600180471375,AAPL,3210468,3211396,928,100,100,27,43,96
14600180471375,AMZN,18539989,18540000,11,16,50,42,9,62
14600180471375,GOOGL,14418878,14418941,63,59,100,23,3,37
14600180471375,MSFT,1736700,1739443,2743,20,100,41,11,90
14600180471375,TSLA,6425732,6427300,1568,13,572,125,101,341
14610170053764,AAPL,3210468,3211396,928,100,100,27,45,99
14610170053764,AMZN,18539989,18540000,11,16,50,43,9,63
14610170053764,GOOGL,14418878,14418941,63,59,100,25,3,39
14610170053764,MSFT,1736700,1738888,2188,20,100,42,15,96
14610170053764,TSLA,6425572,6427300,1728,88,572,128,102,348
