timestamp_ns,symbol,side,fill_price,fill_qty,position_after,realized_pnl
14404325319533,TSLA,BUY,6459989,13,13,0
14404882047526,TSLA,BUY,6459976,64,77,0
14405477699811,GOOGL,BUY,14417802,18,18,0
14406436395699,GOOGL,BUY,14418878,9,27,0
14408487600433,TSLA,BUY,6459906,8,85,0
14412801517032,AMZN,BUY,18539989,20,20,0
14412937152109,AAPL,BUY,3217989,30,30,0
14413036758933,MSFT,BUY,1745985,100,100,0
14419812824890,TSLA,BUY,6459863,45,130,0
14423046022842,TSLA,BUY,6459796,3,133,0
14426861325066,AAPL,BUY,3217959,75,105,0
14426924740000,AAPL,BUY,3217869,5,110,0
14436018394871,TSLA,BUY,6459760,63,196,0
14438021338315,AAPL,BUY,3217819,15,125,0
14442494095630,TSLA,BUY,6459679,9,205,0
14443714554458,TSLA,BUY,6459629,100,305,0
14444230818819,MSFT,SELL,1727005,100,0,-1898000
14450769663997,TSLA,BUY,6438390,100,405,0
14450954526840,AAPL,BUY,3217779,4,129,0
14453889291423,TSLA,BUY,6437845,100,505,0
14457605870932,TSLA,BUY,6432540,5,510,0
14464140529631,AAPL,BUY,3217755,100,229,0
14467236419587,AAPL,BUY,3213665,30,259,0
14474189139626,MSFT,BUY,1745974,10,10,-1896900
14474252103309,MSFT,BUY,1745972,10,20,-1896800
14476086740817,TSLA,SELL,6433569,98,412,-1710296
14477003359687,MSFT,BUY,1745961,10,30,-1896400
14478100712704,MSFT,BUY,1745945,10,40,-1895800
14482101038900,TSLA,SELL,6433471,50,362,-2587928
14483799109156,TSLA,SELL,6433421,50,312,-3467970
14484841253027,TSLA,SELL,6433371,2,310,-3503400
14491057010568,TSLA,BUY,6432739,100,410,-2611400
14491218383969,MSFT,BUY,1745927,10,50,-1895000
14494304218489,MSFT,BUY,1745908,10,60,-1894200
14495092269016,MSFT,BUY,1745889,10,70,-1893300
14495799147985,MSFT,BUY,1745869,10,80,-1892400
14497297986103,AAPL,BUY,3213618,100,359,0
14497369540365,TSLA,BUY,6431269,100,510,-2011600
14497401082602,TSLA,BUY,6430534,100,610,-1584400
14501056382660,MSFT,BUY,1745849,10,90,-1891500
14502315929206,MSFT,BUY,1745829,10,100,-1890500
14504095407600,MSFT,BUY,1745809,10,110,-1889500
14504763698253,TSLA,SELL,6431397,7,603,-1654758
14507395958740,MSFT,BUY,1745789,10,120,-1888500
14507877195452,MSFT,BUY,1745769,10,130,-1887500
14507940206000,MSFT,BUY,1745749,10,140,-1886500
14508892340775,MSFT,BUY,1745729,10,150,-1885500
14512468496775,MSFT,BUY,1745709,10,160,-1884500
14513003214722,MSFT,BUY,1745689,10,170,-1883500
14515864503250,MSFT,BUY,1745669,20,190,-1881700
14522886418196,MSFT,BUY,1745639,20,210,-1879900
14524715197841,MSFT,BUY,1745604,20,230,-1878100
14527232033154,MSFT,BUY,1745567,20,250,-1876300
14529003873529,MSFT,BUY,1745528,20,270,-1874500
14530090183725,TSLA,BUY,6430174,45,648,-1492884
14532280588742,MSFT,BUY,1745489,20,290,-1872700
14533003297114,MSFT,BUY,1745449,20,310,-1870800
14536033702945,MSFT,BUY,1745409,20,330,-1868900
14536588659522,AAPL,BUY,3211136,100,459,0
14537003345955,MSFT,BUY,1745369,20,350,-1867000
14539160939099,MSFT,BUY,1745329,20,370,-1865100
14553486919238,MSFT,BUY,1745289,49,419,-1860800
14554105104623,MSFT,BUY,1745220,49,468,-1856600
14555493724286,MSFT,BUY,1745137,49,517,-1852400
