timestamp_ns,symbol,best_bid,best_ask,spread,bid_volume,ask_volume,bid_levels,ask_levels,total_orders
14400007694888,TSLA,6119800,0,0,20,0,1,0,1
14410171064482,AAPL,3217982,3218000,18,100,200,9,4,13
14410171064482,AMZN,18539989,18540000,11,200,50,24,4,29
14410171064482,GOOGL,14419955,14420000,45,100,80,15,2,18
14410171064482,MSFT,1745690,1746000,310,100,500,17,4,21
14410171064482,TSLA,6459989,6460000,11,2992,450,38,8,80
14420116258967,AAPL,3217989,3218000,11,1770,200,20,6,45
14420116258967,AMZN,18539989,18540000,11,2580,50,30,9,66
14420116258967,GOOGL,14419988,14420000,12,100,80,24,2,28
14420116258967,MSFT,1745989,1746000,11,300,500,30,6,40
14420116258967,TSLA,6459989,6460000,11,7655,450,59,10,156
14430128422424,AAPL,3217989,3218000,11,2095,200,21,6,49
14430128422424,AMZN,18539989,18540000,11,3200,50,28,10,72
14430128422424,GOOGL,14419989,14420000,11,100,80,24,2,28
14430128422424,MSFT,1745989,1746000,11,1300,500,31,8,53
14430128422424,TSLA,6459989,6460000,11,11651,450,78,12,226
14440009312139,AAPL,3217989,3218000,11,4210,200,26,16,87
14440009312139,AMZN,18539989,18540000,11,4098,50,29,11,85
14440009312139,GOOGL,14419989,14420000,11,500,80,24,2,31
14440009312139,MSFT,1745989,1746000,11,2500,500,34,10,73
14440009312139,TSLA,6459989,6460000,11,16099,450,96,19,309
14450141371823,AAPL,3217989,3218000,11,5903,200,26,22,116
14450141371823,AMZN,18539989,18540000,11,4984,50,31,11,95
14450141371823,GOOGL,14419989,14420000,11,800,80,23,2,33
14450141371823,MSFT,1745989,1746000,11,4000,500,38,12,101
14450141371823,TSLA,6459989,6460000,11,21965,450,104,28,406
14460734530503,AAPL,3217989,3218000,11,6257,200,26,23,121
14460734530503,AMZN,18539989,18540000,11,5484,50,32,11,101
14460734530503,GOOGL,14419989,14420000,11,900,80,24,2,35
14460734530503,MSFT,1745989,1746000,11,4300,500,39,12,104
14460734530503,TSLA,6459989,6460000,11,25293,450,109,29,445
14470767858128,AAPL,3217989,3218000,11,6745,200,28,23,128
14470767858128,AMZN,18539989,18540000,11,5484,50,32,11,101
14470767858128,GOOGL,14419989,14420000,11,1100,80,25,2,39
14470767858128,MSFT,1745989,1746000,11,4400,500,39,12,106
14470767858128,TSLA,6459989,6460000,11,27179,450,111,29,467
14480137534330,AAPL,3217989,3218000,11,7078,200,27,23,131
14480137534330,AMZN,18539989,18540000,11,5684,50,32,11,103
14480137534330,GOOGL,14419989,14420000,11,1200,80,24,2,39
14480137534330,MSFT,1745989,1746000,11,4690,500,40,12,109
14480137534330,TSLA,6459989,6460000,11,31284,450,125,31,538
14490228841918,AAPL,3217989,3218000,11,7668,200,28,23,137
14490228841918,AMZN,18539989,18540000,11,5874,50,32,11,104
14490228841918,GOOGL,14419989,14420000,11,1200,80,24,2,39
14490228841918,MSFT,1745989,1746000,11,5290,500,42,12,118
14490228841918,TSLA,6459989,6460000,11,33859,450,134,36,581
14500274165662,AAPL,3217989,3218000,11,8031,200,27,22,140
14500274165662,AMZN,18539989,18540000,11,6374,50,34,11,111
14500274165662,GOOGL,14419989,14420000,11,1499,80,23,2,42
14500274165662,MSFT,1745989,1746000,11,6484,500,43,12,132
14500274165662,TSLA,6459989,6460000,11,37325,450,138,36,628
14510089483967,AAPL,3217989,3218000,11,7697,200,28,18,134
14510089483967,AMZN,18539989,18540000,11,7423,50,36,11,126
14510089483967,GOOGL,14419989,14420000,11,1978,80,22,2,47
14510089483967,MSFT,1745989,1746000,11,7400,500,46,12,150
14510089483967,TSLA,6459989,6460000,11,39926,450,140,35,654
14520454574759,AAPL,3217989,3218000,11,8747,200,29,17,146
14520454574759,AMZN,18539989,18540000,11,7923,50,35,11,134
14520454574759,GOOGL,14419989,14420000,11,2378,80,23,2,55
14520454574759,MSFT,1745989,1746000,11,7790,500,47,11,156
14520454574759,TSLA,6459989,6460000,11,41781,450,141,33,674
14530089053829,AAPL,3217989,3218000,11,9047,200,29,17,150
14530089053829,AMZN,18539989,18540000,11,7923,50,35,11,134
14530089053829,GOOGL,14419989,14420000,11,2578,80,24,2,59
14530089053829,MSFT,1745989,1746000,11,8790,500,49,10,171
14530089053829,TSLA,6459989,6460000,11,43851,450,139,33,697
14540020638704,AAPL,3217989,3218000,11,9727,200,29,17,156
