elapsed_sec,cumulative,interval_rate
0.016875,243665,14439442.49
0.017231,247501,10787917.31
0.017306,248917,18765405.92
0.017509,250327,6961519.09
0.017573,251532,18597975.06
0.017683,253737,20068259.39
0.017874,255032,6803864.81
0.017935,256159,18288032.45
0.017997,257335,19070167.19
0.018199,259088,8653243.36
0.018239,259743,16670060.06
0.018313,260927,15857284.44
0.018373,261895,16211961.35
0.018571,263534,8284765.43
0.018631,264718,19774530.27
0.018668,265364,17479300.83
0.018710,266057,16434652.69
0.018909,268189,10727044.03
0.018988,269896,21494138.53
0.019067,271630,21937981.55
0.019241,272669,5987023.31
0.019276,273047,10672840.73
0.019328,274195,22219641.54
0.019393,275582,21324682.51
0.019583,277284,8944148.99
0.019617,277826,15980658.10
0.019665,278876,22047244.09
0.019696,279435,17863990.80
0.019745,280492,21626598.47
0.019939,282339,9508365.51
0.019999,283688,22561546.70
0.020055,284933,22281879.19
0.020229,286159,7034212.90
0.020296,287714,23122676.58
0.020342,288678,21147771.15
0.020508,289740,6399209.44
0.020543,290422,19166455.89
0.020588,291147,16140882.07
0.020621,291724,17396810.08
0.020675,292838,20645687.39
0.020856,294306,8142346.86
0.020947,296327,22027247.96
0.021038,298376,22672199.17
0.021242,300198,8920440.64
0.021303,301392,19722171.75
0.021351,302497,22941017.71
0.021542,303779,6707652.06
0.021573,304305,16967741.94
0.021599,304723,15748624.82
0.021643,305480,17369157.70
0.021690,306422,20024658.82
0.021728,307060,16808051.00
0.022016,308333,4425255.59
0.022107,310117,19595566.83
0.022162,311385,23142064.53
0.022344,312315,5099383.14
0.022407,313698,21808032.55
0.022439,314225,16730158.73
0.022482,315028,18728862.97
0.022670,316675,8760638.30
0.022704,317384,20402877.70
0.022786,319310,23499841.38
0.022837,320392,21302567.33
0.022995,321215,5202012.54
0.023103,323972,25517854.17
0.023274,325283,7696688.25
0.023421,329067,25785349.23
0.023594,330301,7102158.27
0.023652,331652,23393939.39
0.023692,332482,20836994.45
0.023742,333556,21605745.44
0.023930,335195,8681557.91
0.023976,336090,19724517.91
0.024039,337403,20758893.28
0.024093,338500,20472529.11
0.024287,340416,9834063.02
0.024328,341182,18720825.08
0.024367,341923,19351805.91
0.024564,343180,6375306.21
0.024602,343652,12475880.84
0.024657,344665,18390095.13
0.024705,345611,19471831.71
0.024767,346728,18052525.25
0.024949,347728,5486968.45
0.025041,349643,20976646.37
0.025079,350330,17805769.38
0.025121,351109,18865639.83
0.025312,352745,8535681.86
0.025367,353896,21216589.86
0.025451,355749,21800000.00
0.025636,357249,8142924.61
0.025678,358034,18362573.10
0.025701,358404,16174863.39
0.025755,359445,19322505.80
0.025787,359987,16893682.01
0.025958,361158,6876424.02
0.025997,361943,19686520.38
0.026040,362735,18764215.31
0.026098,363895,19758806.30
0.026170,365261,19149353.74
0.026317,365814,3754472.44
0.026426,368313,22830466.20
0.026475,369274,19629069.81
0.026668,370206,4830066.65
0.026696,370640,15781818.18
0.026741,371500,19128539.34
0.026791,372564,21280000.00
0.026833,373468,21545354.88
0.027084,376933,13804780.88
0.027146,378218,20725806.45
0.027356,380465,10676714.59
0.027433,382212,22886263.00
0.027610,383601,7849320.18
0.027659,384674,21586062.61
0.027722,385939,20079365.08
0.027785,387331,22197770.65
0.027961,388873,8755145.49
0.028019,390193,22956521.74
0.028099,392166,24408348.08
0.028294,394108,9978163.13
0.028337,395039,21546935.75
0.028373,395801,21142001.00
0.028413,396674,21916501.39
0.028624,399076,11383886.26
0.028693,400646,22919708.03
0.028868,401965,7510320.28
0.028929,403252,21316770.19
0.028985,404425,20977520.25
0.029174,405901,7811259.65
0.029208,406433,15494844.76
0.029256,407351,19108678.00
0.029300,408275,20764044.94
0.029366,409711,21923664.12
0.029539,410704,5739884.39
0.029620,412489,21924168.17
0.029668,413435,19640002.49
0.029715,414346,19750677.51
0.029874,414795,2815788.48
0.029952,416481,21534767.28
0.029986,417009,15780979.14
0.030199,419133,9965982.40
0.030262,420280,18134387.35
0.030342,421991,21332036.70
0.030384,422893,21910753.76
0.030557,424186,7472174.39
0.030616,425401,20607890.36
0.030662,426305,19406221.15
0.030883,428969,12063359.81
0.031166,433350,15464663.54
0.031235,435016,24232727.27
0.031314,436918,24229299.36
0.031524,439369,11636795.25
0.031583,440742,23287369.19
0.031750,441835,6543303.74
0.031811,443197,22206280.37
0.031865,444292,20388024.13
0.031895,444833,18312910.43
0.031934,445591,19435897.44
0.032091,446395,5108816.52
0.032181,448636,24819749.48
0.032242,449847,20057971.01
0.032471,452618,12107045.33
0.032525,453766,21112643.68
0.032700,455086,7523125.06
0.032753,456147,20145824.63
0.032806,457245,20700576.90
0.032871,458665,22015503.88
0.033146,462689,14592928.38
0.033336,464245,8225536.17
0.033389,465403,21814893.66
0.033454,466826,21697696.05
0.033645,468507,8829940.91
0.033696,469577,20759768.73
0.033827,472801,24579353.04
0.034093,476531,14062205.47
0.034846,487729,14867075.23
0.035185,492321,13519123.14
0.035554,497733,14668336.23
0.035852,501488,12630679.60
0.036101,504643,12657973.92
0.036213,507103,21997084.94
0.036471,510451,12953748.77
0.036726,513559,12224188.79
0.036883,517266,23480601.74
0.037341,522528,11496387.44
0.037642,526784,14135637.02
0.037820,530935,23369458.13
0.038017,532696,8908922.58
0.038108,534577,20842105.26
0.038301,536217,8469980.63
0.038395,538479,24138814.19
0.038446,539568,21370540.45
0.038674,542107,11123767.80
0.038722,543064,20024271.84
0.038961,546076,12595922.63
0.039024,547493,22462470.08
0.039094,548974,21245463.28
0.039314,551615,12011370.10
0.039365,552733,21673807.26
0.039556,554573,9677843.52
0.039638,556553,23951516.32
0.039833,558301,8966033.71
0.039916,559955,20078907.44
0.039974,561040,18626609.44
0.040009,561521,13501754.39
0.040252,564132,10781815.85
0.040328,565548,18570491.80
0.040378,566290,14889731.70
0.040573,567710,7275820.20
0.040628,568794,19575620.77
0.040680,569817,19815980.63
0.040748,571218,20440320.39
0.040941,572612,7222797.93
0.041039,574838,22704555.19
0.041087,575765,19430703.45
0.041314,578152,10507688.18
0.041392,579823,21538223.58
0.041592,581405,7918234.96
0.041659,582813,20795179.30
0.041739,584406,20016586.25
0.041954,586262,8632558.14
0.042243,589824,12307543.47
0.042310,591018,17909910.45
0.042367,591994,17274336.28
0.042412,592744,16544239.30
0.042457,593610,19050133.09
0.042684,595810,9693423.45
0.042776,597817,21934426.23
0.042998,599835,9067951.22
0.043075,601267,18780327.87
0.043113,601797,13932336.16
0.043162,602704,18277078.09
0.043349,603880,6311247.54
0.043422,605375,20374787.05
0.043496,606706,17916032.90
0.043676,607616,5069637.88
0.043730,608579,17874709.98
0.043779,609460,17753148.61
0.043853,610903,19599320.88
0.044067,612595,7912679.93
0.044116,613401,16269352.66
0.044233,615609,18891978.61
0.044648,619360,9046728.97
0.044921,622327,10874744.35
0.045042,624176,15280991.74
0.045245,625255,5294640.10
0.045342,626899,16970322.58
0.045419,628260,17665688.85
0.045491,629327,14923076.92
0.045689,630439,5623261.69
0.045771,631972,18647820.16
0.045852,633287,16284829.72
0.046052,634310,5106472.19
0.046103,635149,16304559.06
0.046145,635753,14395347.73
0.046184,636397,16477330.88
0.046265,637852,17935285.05
0.046465,639191,6699186.99
0.046517,640094,17605427.85
0.046616,641873,17984775.11
0.046676,642778,15000082.87
0.046852,643567,4469191.47
0.046991,646349,20122965.64
0.047189,647738,6994556.43
0.047322,650465,20594032.49
0.047617,653912,11674851.82
0.047667,654694,15705334.19
0.047706,655305,15387327.49
0.047927,656758,6574660.63
0.047991,657767,15745205.44
0.048056,658887,17263969.17
0.048118,659867,15806451.61
0.048348,661291,6208174.39
0.048434,662850,17971181.56
0.048532,664603,18002567.39
0.048779,666666,8349387.25
0.048836,667610,16477282.64
0.048895,668651,17644067.80
0.048959,669759,17312500.00
0.049140,670734,5396669.01
0.049201,671951,19896349.34
0.049246,672777,18527241.33
0.049277,673256,15410352.93
0.049476,675041,8960438.53
0.049522,675787,16306010.93
0.049571,676692,18548502.80
0.049623,677499,15482014.39
0.049680,678662,20418195.54
0.049942,680567,7251396.99
0.049996,681502,17558685.45
0.050073,683098,20704954.40
0.050293,684283,5385335.53
0.050374,686036,21476263.40
0.050684,687861,5891049.48
0.050746,689029,18979217.11
0.050895,691131,14068011.00
0.050944,692130,20405245.31
0.051101,692944,5179204.29
0.051164,694222,20502783.44
0.051219,695328,20109090.91
0.051262,696215,20197190.15
0.051471,697250,4964028.78
0.051679,699418,10395987.38
0.051758,700699,16266666.67
0.051961,702454,8663115.86
0.052035,704047,21502908.90
0.052285,706578,10130726.80
0.052332,707492,19343915.34
0.052433,709650,21331277.31
0.052623,711224,8311551.16
0.052690,712721,22095940.96
0.052770,714452,21773584.91
0.052965,716490,10428980.08
0.053013,717522,21556135.77
0.053058,718431,20051618.03
0.053270,720554,10051655.00
0.053318,721612,21721277.82
0.053394,723383,23353948.81
0.053561,724390,6041987.92
0.053639,725907,19469435.42
0.053689,726746,16822055.14
0.053886,728620,9498659.34
0.053950,729929,20255319.15
0.054017,731407,22393939.39
0.054050,732079,19813073.09
0.054219,733046,5740303.22
0.054267,734017,20159030.04
0.054300,734617,18437711.27
0.054378,736294,21465600.00
0.054426,737157,17717828.69
0.054591,738109,5784315.51
0.054631,738877,19159764.49
0.054704,740412,21027397.26
0.054754,741342,18803833.56
0.054950,742551,6143542.42
0.055058,744973,22425925.93
0.055267,746864,9049665.48
0.055335,748219,20136123.16
0.055595,750947,10468833.35
0.055637,751652,16653674.44
0.055697,752935,21563025.21
0.055932,755548,11097473.45
0.056019,757327,20616286.75
0.056094,758916,21198255.05
0.056262,759863,5636904.76
0.056312,760822,19132169.58
0.056406,762953,22530475.88
0.056592,764472,8172158.71
0.056664,766021,21651617.23
0.056714,767043,20221206.55
0.056761,767970,19776000.00
0.056939,768981,5703808.18
0.056993,770067,19972413.79
0.057040,770901,17744680.85
0.057067,771345,16393442.62
0.057107,772123,19289415.62
0.057154,772970,18085537.98
0.057320,773829,5190332.33
0.057382,775311,23664670.66
0.057419,776020,19468929.35
0.057457,776779,19778501.63
0.057642,778141,7365466.67
0.057707,779453,20301740.81
0.057733,779890,16311447.87
0.057772,780640,19586336.57
0.057810,781339,18374428.26
0.057965,782108,4961290.32
0.058021,783274,20837056.36
0.058047,783651,14115620.79
0.058116,785096,21018181.82
0.058156,785862,19392405.06
0.058325,787016,6804887.25
0.058383,788177,20046273.91
0.058431,789161,20482078.18
0.058462,789698,17229762.25
0.058683,792150,11088750.71
0.058779,794259,21959371.52
0.058831,795322,20458438.38
0.058995,796237,5586387.53
0.059051,797336,19846501.13
0.059085,797949,17577060.93
0.059144,798943,17088727.29
0.059196,799776,15993702.36
0.059360,800707,5665291.42
0.059476,803335,22761523.67
0.059670,804840,7747747.75
0.059739,806024,17077005.18
0.059813,807525,20398456.19
0.059873,808677,19253589.16
0.060060,809685,5380792.49
0.060110,810356,13342082.24
0.060169,811517,19594936.71
0.060215,812376,18861710.07
0.060257,813152,18421364.99
0.060415,813711,3541718.15
0.060478,814948,19752495.01
0.060567,816696,19530726.26
0.060604,817326,16837266.48
0.060760,818023,4493150.68
0.060856,820184,22307096.77
0.060910,821181,18534699.11
0.061122,823203,9565937.32
0.061181,824335,19091951.70
0.061224,824877,12580368.13
0.061261,825535,17823766.83
0.061305,826351,18633540.37
0.061496,827872,7952941.18
0.061536,828548,17059936.91
0.061642,830758,20800000.00
0.061823,832092,7348202.33
0.061861,832756,17706666.67
0.061928,834170,20960879.94
0.061962,834759,17647940.07
0.062006,835636,19950862.19
0.062163,836393,4808883.41
0.062223,837617,20301537.54
0.062293,839013,20098187.42
0.062360,840422,21095656.60
0.062508,840891,3156463.68
0.062549,841682,19292682.93
0.062595,842537,18722901.06
0.062641,843458,20021739.13
0.062682,844217,18625766.87
0.062845,845058,5134560.91
0.062916,846537,21053380.78
0.062961,847463,20240437.16
0.063025,848809,21238658.78
0.063184,849481,4230858.83
0.063217,850029,16501550.78
0.063253,850647,16970562.39
0.063321,851936,19131725.42
0.063362,852699,18348403.23
0.063549,854224,8173306.25
0.063645,856259,21069960.55
0.063743,858319,21083011.80
0.063904,859127,5034267.91
0.063966,860167,16763108.27
0.064020,861242,19876488.43
0.064078,862265,17663512.67
0.064298,864030,7990945.10
0.064349,864823,15638249.62
0.064403,865823,18504468.83
0.064439,866399,16074119.55
0.064487,867284,18485639.69
0.064655,868312,6116026.01
0.064688,868729,12798084.89
0.064745,869804,18763527.19
0.064823,871439,20972831.52
0.065001,872461,5726805.60
0.065079,874099,20977677.60
0.065138,875231,19336544.70
0.065193,876262,18802545.91
0.065361,877109,5021729.21
0.065425,878154,16392156.86
0.065487,879478,21455889.03
0.065539,880500,19513126.49
0.065702,881428,5709293.60
0.065742,882201,19165447.65
0.065774,882710,15803527.07
0.065818,883505,18102329.39
0.065864,884380,19021739.13
0.066085,886543,9815087.92
0.066148,887790,19650792.65
0.066237,889707,21549253.03
0.066431,891291,8175483.87
0.066548,893926,22473347.55
0.066720,894951,5979605.17
0.066783,896200,19515625.00
0.066834,897261,20820659.75
0.066868,897807,16278584.42
0.067095,900306,11020948.18
0.067154,901427,19053608.46
0.067208,902451,18948576.08
0.067251,903205,17534883.72
0.067430,904329,6260373.62
0.067465,904864,15432543.92
0.067530,905999,17484133.34
0.067612,907335,16234870.95
0.067767,908003,4305039.09
0.067832,909332,20671633.67
0.067916,911183,21991992.11
0.067961,912038,18722491.08
0.068118,912668,4014886.95
0.068154,913219,15430283.68
0.068194,914003,19478260.87
0.068238,914818,18470254.96
0.068290,915533,13917274.94
0.068325,916082,15629893.24
0.068494,916976,5284749.89
0.068543,917779,16499886.99
0.068588,918582,17827805.16
0.068674,920414,21169156.82
0.068866,922039,8461690.67
0.068916,922972,18832505.75
0.068971,924011,18720720.72
0.069024,925030,19409523.81
0.069330,929380,14223448.74
0.069521,930905,7953063.89
0.069590,932279,20168807.34
0.069670,934095,22617446.32
0.069839,935097,5936335.47
0.070166,939153,12383144.76
0.070298,941533,18081671.42
0.070402,943501,18945848.38
0.070605,945248,8602394.10
0.070656,946156,17645115.53
0.070696,946646,12237456.61
0.070891,948221,8097686.38
0.070942,949056,16239765.06
0.071005,950191,18051689.86
0.071079,951765,21378607.81
0.071290,953801,9628389.56
0.071585,957267,11737534.37
0.071716,959582,17750753.35
0.071795,961195,20396292.50
0.072028,963111,8221693.94
0.072463,969894,15603577.57
0.072892,973892,9306699.75
0.073152,976936,11722706.39
0.073247,978892,20508519.00
0.073555,982783,12653658.54
0.073788,985243,10546623.79
0.073855,986267,15255121.04
0.074097,989012,11354705.27
0.074187,990795,19692518.39
0.074261,992265,20045545.66
0.074481,994374,9568227.50
0.074531,995227,17131610.13
0.074608,996626,18188436.89
0.074787,997889,7046025.10
0.074846,998991,18651727.23
0.074901,1000000,18527699.74
0.074919,1000137,7646796.16
0.075166,1002434,9291732.91
0.075264,1004561,21621346.89
0.075329,1005860,19984615.38
0.075639,1010418,14693367.03
0.075902,1013404,11364414.84
0.076124,1015813,10865643.10
0.076257,1018889,23127819.55
0.076474,1021188,10602580.78
0.076547,1022335,15596741.95
0.076637,1023537,13386493.23
0.076860,1025213,7526934.84
0.076970,1027628,21921463.97
0.077160,1028914,6766925.21
0.077239,1030588,21156398.10
0.077299,1031840,20794578.79
0.077483,1033031,6490463.22
0.077528,1033665,14141053.66
0.077581,1034710,19396751.74
0.077699,1036633,16400852.88
0.077858,1037435,5028213.17
0.077921,1038786,21645091.00
0.077956,1039438,18496453.90
0.078014,1040562,19449058.69
0.078064,1041640,21311507.82
0.078228,1042717,6580434.66
0.078299,1044317,22416812.61
