timestamp_ns,symbol,side,fill_price,fill_qty,position_after,realized_pnl,mid_at_fill,effective_spread_bps
14400113113772,FB,BUY,2156359,5,5,0,2156473,1.05728
14401250853139,FB,BUY,2161405,10,15,0,2161510,0.971543
14403086509108,FB,BUY,2161373,100,115,0,2161489,1.07333
14405477699811,GOOGL,BUY,14411101,18,18,0,14411199,0.136005
14406436395699,GOOGL,BUY,14415378,9,27,0,14415496,0.163713
14414070327159,NVDA,BUY,2653852,1,1,0,2653964,0.84402
14417358086340,FB,BUY,2079382,100,215,0,2079597,2.06771
14417552853300,NVDA,BUY,2666812,2,3,0,2666913,0.75743
14425808126962,FB,BUY,2075397,100,315,0,2075712,3.0351
14426861325066,AAPL,BUY,3217826,100,100,0,3217844,0.111876
14430462891943,AAPL,BUY,3213594,20,120,0,3213794,1.24463
14445859340627,FB,SELL,2068269,20,295,-794040,2068500,2.2335
14450663754863,FB,BUY,2067730,100,395,-590280,2068134,3.9069
14452282372640,FB,BUY,2066109,100,495,-462300,2066602,4.77112
14456393883846,FB,BUY,2065418,100,595,-375000,2066011,5.74053
14457197504700,NVDA,BUY,2666884,100,103,0,2666892,0.0599949
14464140529631,AAPL,BUY,3214004,100,220,0,3214224,1.36892
14467245654906,NVDA,BUY,2666730,54,157,0,2666853,0.922436
14474189139626,MSFT,BUY,1745889,10,10,0,1745894,0.0572772
14474252103309,MSFT,BUY,1745878,10,20,0,1745894,0.183287
14477003359687,MSFT,BUY,1745863,10,30,0,1745889,0.297843
14478100712704,MSFT,BUY,1745845,10,40,0,1745881,0.412399
14483004842104,PYPL,BUY,1131699,100,100,0,1131799,1.7671
14491218383969,MSFT,BUY,1745826,10,50,0,1745872,0.526957
14494304218489,MSFT,BUY,1745807,10,60,0,1745863,0.641517
14495092269016,MSFT,BUY,1745786,10,70,0,1745853,0.767533
14495799147985,MSFT,BUY,1745766,10,80,0,1745843,0.882095
14501056382660,MSFT,BUY,1745746,10,90,0,1745833,0.996659
14501745532466,GOOGL,BUY,14415192,21,48,0,14415235,0.0596591
14502315929206,MSFT,BUY,1745726,10,100,0,1745823,1.11122
14502739706267,AMZN,BUY,18539725,4,4,0,18539812,0.0938521
14504095407600,MSFT,BUY,1745706,10,110,0,1745813,1.22579
14507395958740,MSFT,BUY,1745685,10,120,0,1745803,1.35181
14507877195452,MSFT,BUY,1745664,10,130,0,1745792,1.46638
14507940206000,MSFT,BUY,1745644,10,140,0,1745782,1.58095
14508892340775,MSFT,BUY,1745624,10,150,0,1745772,1.69552
14512468496775,MSFT,BUY,1745604,10,160,0,1745762,1.8101
14513003214722,MSFT,BUY,1745584,10,170,0,1745752,1.92467
14515864503250,MSFT,BUY,1745563,20,190,0,1745742,2.0507
14515985377891,AAPL,SELL,3209732,5,215,-29855,3209850,0.735237
14522886418196,MSFT,BUY,1745532,20,210,0,1745731,2.27985
14524715197841,MSFT,BUY,1745497,20,230,0,1745716,2.509
14527232033154,MSFT,BUY,1745457,20,250,0,1745698,2.76107
14529003873529,MSFT,BUY,1745416,20,270,0,1745678,3.0017
14532280588742,MSFT,BUY,1745374,20,290,0,1745658,3.25379
14532898969171,CSCO,BUY,468201,100,100,0,468242,1.75123
14533003297114,MSFT,BUY,1745333,20,310,0,1745637,3.48297
14536033702945,MSFT,BUY,1745291,20,330,0,1745616,3.72361
14537003345955,MSFT,BUY,1745250,20,350,0,1745595,3.95281
14539160939099,MSFT,BUY,1745208,20,370,0,1745575,4.20492
14543950314164,CSCO,SELL,465026,100,0,-317500,465020,0.258053
14546482261694,NVDA,BUY,2672936,45,202,0,2673193,1.92279
14547601058772,GOOGL,BUY,14416920,10,58,0,14417068,0.205312
14547734762494,AMZN,BUY,18539768,10,14,0,18539777,0.00970885
14553486919238,MSFT,BUY,1745163,49,419,0,1745554,4.47995
14554105104623,MSFT,BUY,1745091,49,468,0,1745531,5.04145
14555493724286,MSFT,BUY,1745003,49,517,0,1745495,5.63737
14556109357916,MSFT,BUY,1744909,49,566,0,1745451,6.21043
14556717738582,MSFT,BUY,1744810,49,615,0,1745404,6.80645
14557608627159,MSFT,BUY,1744710,49,664,0,1745355,7.39105
14562294941243,MSFT,BUY,1744598,79,743,0,1745305,8.10174
14562357473252,MSFT,BUY,1744460,79,822,0,1745249,9.04169
14562358209426,MSFT,BUY,1744309,79,901,0,1745180,9.98178
14580917588834,FB,BUY,2062223,93,688,-307960,2062850,6.07897
14587955766115,GOOGL,BUY,14418129,1,59,0,14418287,0.219166
14618571925554,NFLX,BUY,3410364,100,100,0,3410375,0.064509
