timestamp_ns,symbol,best_bid,best_ask,spread,bid_volume,ask_volume,bid_levels,ask_levels,total_orders
14400007694888,TSLA,6119800,0,0,20,0,1,0,1
14410189958459,AAPL,3217774,3218000,226,100,200,3,4,7
14410189958459,AMZN,18539799,18540000,201,100,50,9,4,13
14410189958459,GOOGL,14418658,14418817,159,91,100,7,3,11
14410189958459,MSFT,1745502,1746000,498,100,500,8,4,12
14410189958459,TSLA,6459713,6459765,52,92,100,24,10,39
14420116258967,AAPL,3217767,3217900,133,100,30,12,8,22
14420116258967,AMZN,18539855,18539900,45,100,20,18,10,31
14420116258967,GOOGL,14418658,14418804,146,91,100,10,3,15
14420116258967,MSFT,1745702,1745900,198,100,100,14,7,23
14420116258967,TSLA,6459702,6459712,10,55,100,46,11,68
14430128422424,AAPL,3213500,3213700,200,100,100,12,10,24
14430128422424,AMZN,18539855,18539900,45,100,20,17,11,32
14430128422424,GOOGL,14418658,14418804,146,91,100,10,3,14
14430128422424,MSFT,1745784,1745900,116,100,100,16,9,26
14430128422424,TSLA,6459510,6459520,10,51,100,65,13,96
14440009312139,AAPL,3213560,3213760,200,100,100,19,23,45
14440009312139,AMZN,18539881,18539900,19,100,20,19,12,37
14440009312139,GOOGL,14418658,14418804,146,91,100,11,3,15
14440009312139,MSFT,1745879,1745900,21,100,100,20,11,35
14440009312139,TSLA,6459395,6459429,34,64,100,83,20,135
14450141371823,AAPL,3214110,3214310,200,100,100,20,30,58
14450141371823,AMZN,18539889,18539900,11,100,20,21,12,39
14450141371823,GOOGL,14418658,14418804,146,91,100,11,3,14
14450141371823,MSFT,1745889,1745900,11,100,100,25,13,49
14450141371823,TSLA,6459218,6460000,782,67,450,91,28,174
14460734530503,AAPL,3213500,3215100,1600,21,30,20,30,58
14460734530503,AMZN,18539889,18539900,11,100,20,23,11,39
14460734530503,GOOGL,14418658,14418804,146,91,100,11,3,14
14460734530503,MSFT,1745889,1745900,11,100,100,26,12,47
14460734530503,TSLA,6432997,6434900,1903,95,823,99,37,193
14470767858128,AAPL,3209700,3210000,300,50,34,19,36,64
14470767858128,AMZN,18539889,18539900,11,100,20,23,10,37
14470767858128,GOOGL,14418658,14418804,146,91,100,13,3,16
14470767858128,MSFT,1745889,1745900,11,100,100,26,12,47
14470767858128,TSLA,6432997,6434900,1903,95,823,103,41,204
14480137534330,AAPL,3209700,3210000,300,50,34,19,36,66
14480137534330,AMZN,18539889,18539900,11,100,20,24,10,38
14480137534330,GOOGL,14418658,14418804,146,91,100,13,3,16
14480137534330,MSFT,1745847,1745900,53,90,100,27,12,48
14480137534330,TSLA,6434500,6434900,400,98,823,118,48,238
14490228841918,AAPL,3209700,3209730,30,50,90,20,37,69
14490228841918,AMZN,18539889,18539900,11,100,20,24,10,38
14490228841918,GOOGL,14418658,14418804,146,91,100,13,3,16
14490228841918,MSFT,1745847,1745900,53,90,100,30,12,52
14490228841918,TSLA,6434500,6434900,400,98,721,122,55,254
14500274165662,AAPL,3209700,3209730,30,50,90,22,39,77
14500274165662,AMZN,18539889,18539900,11,100,20,27,10,41
14500274165662,GOOGL,14418658,14418804,146,91,100,13,3,17
14500274165662,MSFT,1745768,1745900,132,90,100,33,12,57
14500274165662,TSLA,6431526,6434900,3374,100,721,119,63,262
14510089483967,AAPL,3209700,3209730,30,50,90,21,40,79
14510089483967,AMZN,18539889,18539891,2,56,100,30,11,48
14510089483967,GOOGL,14419205,14419405,200,100,100,14,3,19
14510089483967,MSFT,1745626,1745900,274,90,100,34,12,64
14510089483967,TSLA,6430502,6430702,200,100,100,124,69,279
14520454654805,AAPL,3209700,3209730,30,50,85,21,43,86
14520454654805,AMZN,18539889,18539891,2,56,100,30,10,51
14520454654805,GOOGL,14419097,14419297,200,100,100,15,3,23
14520454654805,MSFT,1745566,1745900,334,80,100,33,12,64
14520454654805,TSLA,6430000,6432669,2669,307,93,124,69,285
14530090183725,AAPL,3209700,3209730,30,50,85,22,43,88
14530090183725,AMZN,18539889,18539891,2,56,100,30,10,51
14530090183725,GOOGL,14419043,14419243,200,100,100,16,3,25
14530090183725,MSFT,1745420,1745900,480,80,100,35,12,70
14530090183725,TSLA,6430502,6430702,200,55,100,124,73,296
14540020638704,AAPL,3209700,3209730,30,50,35,20,42,89
14540020638704,AMZN,18539889,18539891,2,56,100,30,10,51
14540020638704,GOOGL,14418989,14419189,200,100,100,17,3,27
14540020638704,MSFT,1745212,1745900,688,80,100,34,12,69
14540020638704,TSLA,6430708,6430908,200,100,100,126,76,309
14550509616320,AAPL,3209700,3209730,30,50,35,23,44,95
14550509616320,AMZN,18539889,18539891,2,46,100,31,10,52
14550509616320,GOOGL,14418962,14419092,130,90,100,22,3,33
14550509616320,MSFT,1745212,1745900,688,80,100,34,11,68
14550509616320,TSLA,6430708,6430908,200,100,100,126,80,317
14560976665066,AAPL,3209700,3209730,30,50,35,23,43,97
14560976665066,AMZN,18539889,18539891,2,46,100,31,10,52
14560976665066,GOOGL,14419344,14419544,200,100,100,28,3,40
14560976665066,MSFT,1744722,1745900,1178,51,100,35,9,67
14560976665066,TSLA,6430806,6431006,200,90,100,125,81,319
14571199667535,AAPL,3209700,3210000,300,50,154,25,43,98
14571199667535,AMZN,18539889,18539891,2,46,100,31,10,52
14571199667535,GOOGL,14419270,14419470,200,100,100,28,3,40
14571199667535,MSFT,1744014,1744016,2,91,100,38,10,75
14571199667535,TSLA,6426300,6427300,1000,16,298,113,83,301
14581668469631,AAPL,3209700,3210000,300,50,154,27,43,100
14581668469631,AMZN,18539889,18539891,2,46,100,32,10,53
14581668469631,GOOGL,14419270,14419470,200,100,100,28,3,40
14581668469631,MSFT,1744014,1744068,54,31,100,38,10,79
14581668469631,TSLA,6425903,6427300,1397,5,298,112,86,308
14590185182704,AAPL,3209700,3210000,300,50,154,28,43,102
14590185182704,AMZN,18539889,18539891,2,46,100,33,10,54
14590185182704,GOOGL,14419270,14419432,162,99,100,29,3,41
14590185182704,MSFT,1744014,1745900,1886,31,100,42,9,85
14590185182704,TSLA,6425548,6427300,1752,45,298,114,89,312
14600180845468,AAPL,3209700,3210000,300,80,154,28,42,103
14600180845468,AMZN,18539889,18539891,2,36,100,41,11,65
14600180845468,GOOGL,14419270,14419432,162,99,100,29,3,41
14600180845468,MSFT,1736700,1737362,662,20,100,41,10,84
14600180845468,TSLA,6425548,6427300,1752,13,298,119,92,322
14610170053764,AAPL,3209700,3210000,300,80,154,28,44,106
14610170053764,AMZN,18539889,18539891,2,36,100,42,11,66
14610170053764,GOOGL,14419270,14419403,133,99,100,31,3,43
14610170053764,MSFT,1736700,1737112,412,20,100,41,12,88
14610170053764,TSLA,6425200,6427300,2100,4,298,119,93,323
14620062730471,AAPL,3209800,3210000,200,30,146,32,45,111
14620062730471,AMZN,18539889,18539891,2,36,100,47,11,72
14620062730471,GOOGL,14419270,14419398,128,99,100,31,3,44
14620062730471,MSFT,1736700,1737062,362,20,100,41,14,91
14620062730471,TSLA,6420000,6423200,3200,323,14,104,96,301
14630068992021,AAPL,3209800,3210000,200,30,246,34,46,112
14630068992021,AMZN,18539889,18539891,2,36,100,49,11,77
14630068992021,GOOGL,14419209,14419283,74,74,100,45,3,60
14630068992021,MSFT,1736700,1737700,1000,20,100,42,17,102
14630068992021,TSLA,6420000,6420700,700,323,130,99,98,297
14641118238562,AAPL,3209800,3210000,200,30,346,34,45,112
14641118238562,AMZN,18539889,18539891,2,36,100,49,11,80
14641118238562,GOOGL,14419430,14419523,93,66,100,57,3,76
14641118238562,MSFT,1736700,1737700,1000,20,100,44,18,109
14641118238562,TSLA,6420000,6420700,700,323,130,100,98,299
14650094083955,AAPL,3209800,3210000,200,30,346,34,45,111
14650094083955,AMZN,18539889,18539891,2,36,100,49,11,81
14650094083955,GOOGL,14419473,14419673,200,100,100,61,3,81
14650094083955,MSFT,1736900,1737700,800,100,100,48,21,119
14650094083955,TSLA,6420000,6420100,100,56,15,102,99,299
14660226142686,AAPL,3209800,3210000,200,30,346,34,45,115
14660226142686,AMZN,18539889,18539891,2,26,100,49,11,82
14660226142686,GOOGL,14419473,14419673,200,100,100,62,3,83
14660226142686,MSFT,1736900,1737700,800,100,100,48,25,125
14660226142686,TSLA,6410800,6417900,7100,4,39,78,101,266
14670576171695,AAPL,3209800,3210000,200,30,346,34,45,115
14670576171695,AMZN,18539889,18539891,2,26,100,49,11,82
14670576171695,GOOGL,14419469,14420000,531,50,80,63,2,82
14670576171695,MSFT,1736900,1738000,1100,100,630,48,27,130
14670576171695,TSLA,6414936,6415136,200,100,90,85,103,283
14680698250055,AAPL,3209800,3210000,200,30,346,35,45,116
14680698250055,AMZN,18539889,18539891,2,26,100,49,11,82
14680698250055,GOOGL,14419469,14420000,531,50,80,62,2,81
14680698250055,MSFT,1736900,1738000,1100,100,630,48,27,134
14680698250055,TSLA,6413057,6413257,200,100,100,85,106,290
14690254208671,AAPL,3209800,3210000,200,30,346,37,46,116
14690254208671,AMZN,18539881,18539886,5,75,100,51,11,85
14690254208671,GOOGL,14419473,14419663,190,63,100,63,3,83
14690254208671,MSFT,1736900,1738000,1100,100,630,47,29,139
14690254208671,TSLA,6413057,6413300,243,90,500,89,106,298
14700552116953,AAPL,3209800,3210000,200,30,346,37,48,118
14700552116953,AMZN,18539881,18539887,6,75,100,51,11,85
14700552116953,GOOGL,14419385,14419556,171,11,100,71,3,99
14700552116953,MSFT,1736900,1738000,1100,100,630,48,30,143
14700552116953,TSLA,6413057,6413200,143,8,15,87,107,301
14710213421738,AAPL,3209700,3209800,100,50,170,40,49,123
14710213421738,AMZN,18539881,18539888,7,75,100,52,11,87
14710213421738,GOOGL,14419303,14419489,186,7,100,78,3,114
14710213421738,MSFT,1736900,1738000,1100,100,630,50,30,151
14710213421738,TSLA,6413000,6413300,300,440,497,85,103,289
14720305423629,AAPL,3209700,3209800,100,50,270,40,50,126
14720305423629,AMZN,18539881,18539885,4,15,100,56,11,91
14720305423629,GOOGL,14419230,14420000,770,19,80,83,2,125
14720305423629,MSFT,1736900,1738000,1100,100,630,50,30,149
14720305423629,TSLA,6413000,6413300,300,434,500,90,101,292
14730689022439,AAPL,3209700,3209800,100,50,270,40,51,131
14730689022439,AMZN,18539881,18539882,1,15,100,57,11,93
14730689022439,GOOGL,14419230,14419410,180,19,100,83,3,127
14730689022439,MSFT,1736900,1738000,1100,100,630,51,31,150
14730689022439,TSLA,6413000,6413300,300,434,528,90,100,295
